"college_name","Address","name","city_name","state","pop","lat","long","capital"
"North Dakota State University","PO Box 5014, Fargo, ND 58105","Fargo ND","Fargo","ND",92396,46.88,-96.82,0
"North Dakota State University","1301  12th Avenue North, Fargo, ND 58105-5167","Fargo ND","Fargo","ND",92396,46.88,-96.82,0
"Oklahoma State University","900 N. Portland Ave., Oklahoma City, OK 73107","Oklahoma City OK","Oklahoma City","OK",538141,35.47,-97.51,2
"Case Western Reserve University","10900 Euclid Ave, Cleveland, OH 44106","Cleveland OH","Cleveland","OH",443949,41.48,-81.68,0
"University of Cincinnati","P.O. Box 210063, Cincinnati, OH 45221-0063","Cincinnati OH","Cincinnati","OH",301561,39.14,-84.51,0
"Kent State University","P.O. Box 5190, Kent, OH 44242-0001","Kent OH","Kent","OH",NA,NA,NA,NA
"Ohio State University","1585 Neil Avenue, Columbus, OH 43210","Columbus OH","Columbus","OH",741677,39.99,-82.99,2
"Oklahoma State University","107 Whitehurst Hall, Stillwater, OK 74078","Stillwater OK","Stillwater","OK",43473,36.13,-97.07,0
"University of Tulsa","800 South Tucker Drive, Tulsa, OK 74104-3189","Tulsa OK","Tulsa","OK",379833,36.13,-95.92,0
"Concordia University","2811 NE Holman Street, Portland, OR 97211-6099","Portland OR","Portland","OR",542751,45.54,-122.66,0
"Oregon State University",", Corvallis, OR 97331","Corvallis OR","Corvallis","OR",50932,44.57,-123.28,0
"University of Oregon","110 Johnson Hall, Eugene, OR 97403","Eugene OR","Eugene","OR",146483,44.05,-123.11,0
"Portland State University","724 SW Harrison, Portland, OR 97201","Portland OR","Portland","OR",542751,45.54,-122.66,0
"Carnegie Mellon University","5000 Forbes Ave, Pittsburgh, PA 15213-3890","Pittsburgh PA","Pittsburgh","PA",316272,40.44,-79.98,0
"Drexel University","3141 Chestnut St, Philadelphia, PA 19104","Philadelphia PA","Philadelphia","PA",1439814,40.01,-75.13,0
